Year	Commuting	Shopping	Visiting friends at private home	Sports	Walking	Day trip
2002	164	222	125	19	41	23
2003	166	215	122	20	41	24
2004	170	214	121	19	40	24
2005	162	212	125	17	45	28
2006	162	225	121	16	46	27
2007	164	191	112	18	40	28
2008	158	202	110	20	46	29
2009	147	196	111	20	46	28
2010	150	197	102	18	44	28
2011	148	194	105	17	46	30
2012	147	191	103	15	46	27
2013	146	184	96	14	43	28
2014	148	178	92	13	42	29
2015	144	182	89	13	46	28
2016	144	183	90	14	55	29
2017	144	189	88	14	57	35
2018	144	188	84	14	62	33
2019	140	181	82	13	61	32
2020	91	141	64	10	114	45
2021	100	133	68	10	106	36
2022	119	151	72	12	91	34
2023	117	169	74	16	86	36
2024	111	167	76	18	85	39
