Year,Commuting,Business,Education,Escort education,Shopping,Other escort,Personal business,Visiting friends at private home,Visiting friends elsewhere,Entertainment or public activity,Sport: participate,Holiday: base,Day trip,Walking,Other [note 3],All purposes,Unweighted sample size: individuals,Unweighted sample size: trips (thousands),Years
2002,164,17,65,47,222,105,118,125,50,49,19,11,23,41,[low],"1,074","14,369",279,2002
2003,166,16,72,52,215,96,110,122,49,47,20,11,24,41,[low],"1,060","16,685",318,2003
2004,170,18,70,51,214,93,109,121,46,51,19,11,24,40,[low],"1,054","16,487",314,2004
2005,162,18,69,52,212,96,112,125,50,52,17,12,28,45,1,"1,070","16,956",324,2005
2006,162,18,65,47,225,98,109,121,52,51,16,11,27,46,1,"1,067","16,648",317,2006
2007,164,17,65,47,191,87,100,112,50,49,18,11,28,40,1,998,"16,858",303,2007
2008,158,17,64,46,202,97,106,110,48,44,20,11,29,46,1,"1,014","16,360",295,2008
2009,147,17,65,48,196,93,106,111,49,44,20,12,28,46,[low],997,"17,299",312,2009
2010,150,17,62,52,197,92,101,102,48,47,18,12,28,44,1,982,"16,553",292,2010
2011,148,18,61,50,194,93,95,105,46,48,17,11,30,46,[low],972,"15,730",273,2011
2012,147,17,66,56,191,88,96,103,45,52,15,10,27,46,[low],971,"16,670",291,2012
2013,146,18,66,51,184,87,91,96,45,51,14,10,28,43,[low],943,"16,192",274,2013
2014,148,18,65,53,178,86,95,92,47,52,13,9,29,42,[low],942,"16,491",280,2014
2015,144,19,65,50,182,84,91,89,48,52,13,12,28,46,[low],934,"15,525",259,2015
2016,144,20,64,54,183,84,89,90,50,56,14,9,29,55,[low],954,"15,840",276,2016
2017,144,22,67,54,189,87,96,88,49,54,14,12,35,57,[low],975,"14,541",256,2017
2018,144,23,66,60,188,89,92,84,53,60,14,12,33,62,[low],986,"14,150",256,2018
2019,140,23,68,58,181,83,88,82,48,59,13,13,32,61,[low],953,"14,356",250,2019
2020,91,57,46,45,141,56,59,64,24,23,10,7,45,114,1,739,"6,239",86,2020
2021,100,54,50,48,133,67,61,68,26,31,10,6,36,106,[low],757,"9,971",130,2021
2022,119,39,62,56,151,74,69,72,41,50,12,11,34,91,[low],862,"8,087",131,2022
2023,117,38,64,58,169,80,78,74,48,58,16,12,36,86,[low],915,"14,102",235,2023
2024,111,39,63,57,167,77,83,76,50,59,18,13,39,85,1,922,"16,980",285,2024


